legacy_va,legacy_name,legacy_namespace,target_rva,target_va,target_name,similarity,significance
0x40bfba,`scalar_deleting_destructor',APCEnemy,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x40bfba,`scalar_deleting_destructor',APCEnemy,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x40bfba,`scalar_deleting_destructor',APCEnemy,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x40bf88,`scalar_deleting_destructor',APCFriend,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x40bf88,`scalar_deleting_destructor',APCFriend,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
0x40bf88,`scalar_deleting_destructor',APCFriend,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x40bf88,`scalar_deleting_destructor',APCFriend,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x40bf88,`scalar_deleting_destructor',APCFriend,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x40bb97,ChangesState,APCProcess,0x715f0,0x4715f0,FUN_004715f0,0.5933,45.16
0x40bc73,CleanAttack,APCProcess,0x71860,0x471860,FUN_00471860,1.0000,20.34
0x40bc73,CleanAttack,APCProcess,0x75050,0x475050,FUN_00475050,1.0000,20.34
0x40bc73,CleanAttack,APCProcess,0x1b4980,0x5b4980,FUN_005b4980,1.0000,20.34
0x40bc73,CleanAttack,APCProcess,0x1fb720,0x5fb720,FUN_005fb720,0.9504,18.81
0x40bc73,CleanAttack,APCProcess,0x9ee10,0x49ee10,FUN_0049ee10,0.8143,16.71
0x40bc89,CleanReload,APCProcess,0x71860,0x471860,FUN_00471860,1.0000,20.34
0x40bc89,CleanReload,APCProcess,0x75050,0x475050,FUN_00475050,1.0000,20.34
0x40bc89,CleanReload,APCProcess,0x1b4980,0x5b4980,FUN_005b4980,1.0000,20.34
0x40bc89,CleanReload,APCProcess,0x1fb720,0x5fb720,FUN_005fb720,0.9504,18.81
0x40bc89,CleanReload,APCProcess,0x9ee10,0x49ee10,FUN_0049ee10,0.8143,16.71
0x40bc41,DoAttack,APCProcess,0x1fbc80,0x5fbc80,FUN_005fbc80,0.6963,26.75
0x40bc41,DoAttack,APCProcess,0x71800,0x471800,FUN_00471800,0.6963,26.75
0x40bc41,DoAttack,APCProcess,0x1fc8f0,0x5fc8f0,FUN_005fc8f0,0.6963,26.75
0x40bc41,DoAttack,APCProcess,0x1fb770,0x5fb770,FUN_005fb770,0.6431,24.41
0x40bc41,DoAttack,APCProcess,0x213d70,0x613d70,FUN_00613d70,0.6019,23.36
0x40bf32,DoReload,APCProcess,0x71b50,0x471b50,FUN_00471b50,0.5650,22.15
0x40bb7b,`scalar_deleting_destructor',APCProcess,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x40bb7b,`scalar_deleting_destructor',APCProcess,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
0x40bb7b,`scalar_deleting_destructor',APCProcess,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x40bb7b,`scalar_deleting_destructor',APCProcess,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x40bb7b,`scalar_deleting_destructor',APCProcess,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x4be002,GetCommand,ActionMode,0x5bbe0,0x45bbe0,FUN_0045bbe0,0.5765,65.41
0x418ed0,AddAmmo,Global,0x3173a0,0x7173a0,FUN_007173a0,0.8473,14.08
0x418ed0,AddAmmo,Global,0x328510,0x728510,FUN_00728510,0.8473,14.08
0x460860,AddAmmo,Global,0x182a0,0x4182a0,FUN_004182a0,0.6582,14.14
0x460860,AddAmmo,Global,0x173060,0x573060,FUN_00573060,0.6536,14.14
0x460860,AddAmmo,Global,0x1cb820,0x5cb820,FUN_005cb820,0.5450,11.99
0x460860,AddAmmo,Global,0x1757d0,0x5757d0,FUN_005757d0,0.5635,11.99
0x460860,AddAmmo,Global,0x1ce680,0x5ce680,FUN_005ce680,0.5450,11.99
0x4748f9,AddCollisionEntity,Global,0x42ca0,0x442ca0,FUN_00442ca0,0.7535,29.56
0x4e72fd,AddEntCallback,Global,0x22a070,0x62a070,FUN_0062a070,0.9140,26.95
0x418dee,AddHealth,Global,0x3173a0,0x7173a0,FUN_007173a0,0.6470,10.60
0x418dee,AddHealth,Global,0x328510,0x728510,FUN_00728510,0.6470,10.60
0x4607cf,AddHealth,Global,0x1cab80,0x5cab80,FUN_005cab80,0.7453,16.57
0x4607cf,AddHealth,Global,0x1ce150,0x5ce150,FUN_005ce150,0.7874,16.32
0x4607cf,AddHealth,Global,0x1ccfd0,0x5ccfd0,FUN_005ccfd0,0.5176,11.85
0x4607cf,AddHealth,Global,0x1c8840,0x5c8840,FUN_005c8840,0.5176,11.85
