api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
KillPilot,0x5d109c,0x5d2398,0x418cda,0x18cda,KillPilot,true
RemovePilot,0x5d1090,0x5d23a0,0x418cf1,0x18cf1,RemovePilot,true
HoppedOutOf,0x5d1084,0x5d23a8,0x418d08,0x18d08,HoppedOutOf,true
GetHealth,0x5d1078,0x5d23b0,0x418d29,0x18d29,GetHealth,true
GetCurHealth,0x5d1068,0x5d23b8,0x418d4e,0x18d4e,GetCurHealth,true
GetMaxHealth,0x5d1058,0x5d23c0,0x418d73,0x18d73,GetMaxHealth,true
SetCurHealth,0x5d1048,0x5d23c8,0x418d98,0x18d98,SetCurHealth,true
SetMaxHealth,0x5d1038,0x5d23d0,0x418dc3,0x18dc3,SetMaxHealth,true
AddHealth,0x5d102c,0x5d23d8,0x418dee,0x18dee,AddHealth,true
GiveMaxHealth,,,,,,MISSING
GetAmmo,0x5d1024,0x5d23e0,0x418e19,0x18e19,GetAmmo,true
GetCurAmmo,0x5d1018,0x5d23e8,0x418e3e,0x18e3e,GetCurAmmo,true
GetMaxAmmo,0x5d100c,0x5d23f0,0x418e60,0x18e60,GetMaxAmmo,true
SetCurAmmo,0x5d1000,0x5d23f8,0x418e82,0x18e82,SetCurAmmo,true
SetMaxAmmo,0x5d0ff4,0x5d2400,0x418ea9,0x18ea9,SetMaxAmmo,true
AddAmmo,0x5d0fec,0x5d2408,0x418ed0,0x18ed0,AddAmmo,true
GiveMaxAmmo,,,,,,MISSING
CameraReady,0x5d0fd8,0x5d2418,0x418f19,0x18f19,CameraReady,true
CameraPath,0x5d0fcc,0x5d2420,0x418f31,0x18f31,CameraPath,true
CameraPathDir,0x5d0fbc,0x5d2428,0x418f84,0x18f84,CameraPathDir,true
PanDone,0x5d0fb4,0x5d2430,0x418fc5,0x18fc5,PanDone,true
CameraObject,0x5d0fa4,0x5d2438,0x418fdd,0x18fdd,CameraObject,true
CameraFinish,0x5d0f94,0x5d2440,0x41903d,0x1903d,CameraFinish,true
CameraCancelled,0x5d0f84,0x5d2448,0x419055,0x19055,CameraCancelled,true
IsInfo,0x5d0f7c,0x5d2450,0x41906d,0x1906d,IsInfo,true
IsNetGame,0x5d0f70,0x5d2458,0x419094,0x19094,IsNetGame,true
IsHosting,0x5d0f64,0x5d2460,0x4190ac,0x190ac,IsHosting,true
SetLocal,0x5d17ec,0x5d1f60,0x417041,0x17041,SetLocal,true
IsLocal,0x5d17e4,0x5d1f68,0x417058,0x17058,IsLocal,true
IsRemote,0x5d17d8,0x5d1f70,0x41707d,0x1707d,IsRemote,true
DisplayMessage,0x5d0f54,0x5d2468,0x4190c4,0x190c4,DisplayMessage,true
Send,0x5d0f4c,0x5d2470,0x419760,0x19760,Send,true
