api_name,legacy_name,legacy_va,redux_va,source
SetMaxAmmo,SetMaxAmmo,0x418ea9,0x504fd0,regtable+1.5
AddAmmo,AddAmmo,0x418ed0,0x505010,regtable+1.5
GiveMaxAmmo,,,0x507a00,regtable_reduxonly
CameraReady,CameraReady,0x418f19,0x505090,regtable+1.5
CameraPath,CameraPath,0x418f31,0x5050b0,regtable+1.5
CameraPathDir,CameraPathDir,0x418f84,0x505130,regtable+1.5
PanDone,PanDone,0x418fc5,0x5051a0,regtable+1.5
CameraObject,CameraObject,0x418fdd,0x5051c0,regtable+1.5
CameraFinish,CameraFinish,0x41903d,0x505250,regtable+1.5
CameraCancelled,CameraCancelled,0x419055,0x505270,regtable+1.5
IsInfo,IsInfo,0x41906d,0x505290,regtable+1.5
IsNetGame,IsNetGame,0x419094,0x505310,regtable+1.5
IsHosting,IsHosting,0x4190ac,0x505330,regtable+1.5
SetLocal,SetLocal,0x417041,0x500590,regtable+1.5
IsLocal,IsLocal,0x417058,0x5005c0,regtable+1.5
IsRemote,IsRemote,0x41707d,0x500600,regtable+1.5
DisplayMessage,DisplayMessage,0x4190c4,0x505350,regtable+1.5
Send,Send,0x419760,0x5060f0,regtable+1.5
OpenODF,OpenODF,0x41985e,0x506310,regtable+1.5
GetODFBool,GetODFBool,0x419910,0x5064d0,regtable+1.5
GetODFInt,GetODFInt,0x4199be,0x5065d0,regtable+1.5
GetODFFloat,GetODFFloat,0x419a4d,0x5066a0,regtable+1.5
GetODFString,GetODFString,0x419aea,0x506780,regtable+1.5
GetTerrainHeightAndNormal,GetTerrainHeightAndNormal,0x419b87,0x506870,regtable+1.5
GetFloorHeightAndNormal,GetFloorHeightAndNormal,0x419c48,0x506a40,regtable+1.5
GetMissionFilename,,,0x506e40,regtable_reduxonly
GetMapTRNFilename,GetMapTRNFilename,0x419d0a,0x506e60,regtable+1.5
UseItem,,,0x506e80,regtable_reduxonly
ColorFade,,,0x506ef0,regtable_reduxonly
SetVector,SetVector,0x41bace,0x500940,regtable+1.5
DotProduct,DotProduct,0x41bb2e,0x500a30,regtable+1.5
CrossProduct,CrossProduct,0x41bb6f,0x500a80,regtable+1.5
Normalize,Normalize,0x41bbba,0x500b10,regtable+1.5
Length,Length,0x41bbf8,0x500b90,regtable+1.5
LengthSquared,LengthSquared,0x41bc28,0x500be0,regtable+1.5
Distance2D,Distance2D,0x41bc5e,0x500c20,regtable+1.5
Distance2DSquared,Distance2DSquared,0x41bca1,0x500c80,regtable+1.5
Distance3D,Distance3D,0x41bce2,0x500cd0,regtable+1.5
Distance3DSquared,Distance3DSquared,0x41bd2c,0x500d50,regtable+1.5
SetMatrix,SetMatrix,0x41bd76,0x500dd0,regtable+1.5
BuildAxisRotationMatrix,BuildAxisRotationMatrix,0x41721b,0x5010f0,regtable+1.5
BuildPositionRotationMatrix,BuildPositionRotationMatrix,0x41730f,0x501240,regtable+1.5
BuildOrthogonalMatrix,BuildOrthogonalMatrix,0x417408,0x5013f0,regtable+1.5
BuildDirectionalMatrix,BuildDirectionalMatrix,0x41746f,0x5014a0,regtable+1.5
PortalOut,,,0x5073c0,regtable_reduxonly
PortalIn,,,0x507410,regtable_reduxonly
DeactivatePortal,,,0x507530,regtable_reduxonly
ActivatePortal,,,0x5074d0,regtable_reduxonly
IsIn,,,0x507680,regtable_reduxonly
BuildObjectAtPortal,,,0x507460,regtable_reduxonly
Cloak,,,0x506f80,regtable_reduxonly
Decloak,,,0x506fb0,regtable_reduxonly
SetCloaked,,,0x506fe0,regtable_reduxonly
SetDecloaked,,,0x507010,regtable_reduxonly
IsCloaked,,,0x507040,regtable_reduxonly
EnableCloaking,,,0x5070f0,regtable_reduxonly
EnableAllCloaking,,,0x507080,regtable_reduxonly
Hide,,,0x5075a0,regtable_reduxonly
UnHide,,,0x5075d0,regtable_reduxonly
MakeExplosion,,,0x507720,regtable_reduxonly
