module_name,object_name,stream,symbol_size,source_file_count,range_section,range_offset,range_size,flags
E:\BattleZoneTest\build\obj\Release\battlezone\CommTower.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CommTower.obj,108,5212,22,1,263360,289,0
E:\BattleZoneTest\build\obj\Release\battlezone\CommTowerClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CommTowerClass.obj,109,2736,10,1,265248,249,0
E:\BattleZoneTest\build\obj\Release\battlezone\Condition.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Condition.obj,110,144,6,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionBlob.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionBlob.obj,111,2328,14,1,6112,28,0
E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionDisplay.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionDisplay.obj,112,1144,18,1,6144,21,0
E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRig.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRig.obj,113,8744,41,1,267264,75,0
E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRigClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRigClass.obj,114,2156,16,1,6176,194,0
E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRigProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ConstructionRigProcess.obj,115,12280,24,1,272048,171,0
E:\BattleZoneTest\build\obj\Release\battlezone\ControlPanel.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ControlPanel.obj,116,47336,87,1,276096,249,0
E:\BattleZoneTest\build\obj\Release\battlezone\Craft.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Craft.obj,117,32096,74,1,322352,113,0
E:\BattleZoneTest\build\obj\Release\battlezone\CraftClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CraftClass.obj,118,9408,11,1,323056,2554,0
E:\BattleZoneTest\build\obj\Release\battlezone\Crater.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Crater.obj,119,1296,5,1,325856,5,0
E:\BattleZoneTest\build\obj\Release\battlezone\CRC.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CRC.obj,120,3600,152,1,326224,298,0
E:\BattleZoneTest\build\obj\Release\battlezone\DayWrecker.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DayWrecker.obj,121,2488,18,1,328000,582,0
E:\BattleZoneTest\build\obj\Release\battlezone\DayWreckerClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DayWreckerClass.obj,122,3220,11,1,328704,580,0
E:\BattleZoneTest\build\obj\Release\battlezone\DefendTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DefendTask.obj,123,3872,14,1,329568,139,0
E:\BattleZoneTest\build\obj\Release\battlezone\DemoMission.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DemoMission.obj,124,4932,30,1,331744,40,0
