entry_va,entry_rva,name,legacy_name,pdb_advisory_name,name_source,legacy_namespace,confidence,score,margin,methods,signature,legacy_signature,legacy_entry_rva,shared_strings,redux_decomp,legacy_decomp
4203984,9680,FUN_004025d0,,,,,,,,,undefined FUN_004025d0(void),,,,,
4204000,9696,FUN_004025e0,,,,,,,,,undefined FUN_004025e0(void),,,,,
4204016,9712,FUN_004025f0,,,,,,,,,undefined FUN_004025f0(void),,,,,
4204032,9728,FUN_00402600,,,,,,,,,undefined FUN_00402600(void),,,,,
4204064,9760,FUN_00402620,,,,,,,,,undefined FUN_00402620(void),,,,,
4204080,9776,FUN_00402630,,,,,,,,,undefined FUN_00402630(void),,,,,
4204096,9792,FUN_00402640,,,,,,,,,undefined FUN_00402640(void),,,,,
4204112,9808,FUN_00402650,,,,,,,,,undefined FUN_00402650(void),,,,,
4204128,9824,FUN_00402660,,,,,,,,,undefined FUN_00402660(void),,,,,
4204144,9840,FUN_00402670,,,,,,,,,undefined FUN_00402670(void),,,,,
4204160,9856,FUN_00402680,,,,,,,,,undefined FUN_00402680(void),,,,,
4204176,9872,FUN_00402690,,,,,,,,,undefined FUN_00402690(void),,,,,
4204192,9888,FUN_004026a0,,,,,,,,,undefined FUN_004026a0(void),,,,,
4204208,9904,FUN_004026b0,,,,,,,,,undefined FUN_004026b0(void),,,,,
4204224,9920,FUN_004026c0,,,,,,,,,undefined FUN_004026c0(void),,,,,
4204240,9936,FUN_004026d0,,,,,,,,,undefined FUN_004026d0(void),,,,,
4204256,9952,FUN_004026e0,,,,,,,,,undefined FUN_004026e0(void),,,,,
4204304,10000,FUN_00402710,,,,,,,,,undefined FUN_00402710(void),,,,,
4204352,10048,FUN_00402740,,,,,,,,,undefined FUN_00402740(void),,,,,
4204400,10096,FUN_00402770,,,,,,,,,undefined FUN_00402770(void),,,,,
4204416,10112,FUN_00402780,,,,,,,,,undefined FUN_00402780(void),,,,,
4204432,10128,FUN_00402790,,,,,,,,,undefined FUN_00402790(void),,,,,
4204448,10144,FUN_004027a0,,,,,,,,,undefined FUN_004027a0(void),,,,,
4204464,10160,FUN_004027b0,,,,,,,,,undefined FUN_004027b0(void),,,,,
4204496,10192,FUN_004027d0,,,,,,,,,undefined FUN_004027d0(void),,,,,
