legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x005c0064	0x8358d9	classend	Global	very_high	0.9095	64.99	exact
0x005c035f	0x835942	end_capture	Global	very_high	0.9838	65.31	exact
0x005c11d9	0x835aeb	luaopen_string	Global	very_high	1.0000	24.01	exact
0x005c03f7	0x835b72	match	Global	very_high	0.5604	116.07	exact
0x005c03ae	0x835df5	match_capture	Global	very_high	0.6638	43.59	exact
0x005c072b	0x83600d	push_captures	Global	very_high	0.8927	30.95	exact
0x005c06b9	0x836056	push_onecapture	Global	very_high	0.7294	42.48	exact
0x005c0df7	0x8360d9	scanformat	Global	very_high	1.0000	128.83	exact
0x005c0320	0x8361e7	start_capture	Global	very_high	1.0000	41.49	exact
0x005c0774	0x836232	str_find_aux	Global	very_high	0.6002	75.64	exact
0x005bf997	0x836a83	math_random	Global	very_high	0.5815	60.94	exact
0x005bf0ce	0x836dc2	db_gethook	Global	very_high	0.6477	48.32	exact
0x005bf195	0x836e87	db_debug	Global	very_high	0.6540	58.38	exact
0x005be9a4	0x8371eb	db_setmetatable	Global	very_high	1.0000	28.11	exact
0x005bea08	0x837254	db_setfenv	Global	very_high	1.0000	21.86	exact
0x005beed3	0x8376eb	hookf	Global	high	0.9811	41.97	bsim_only
0x005bef4b	0x837783	makemask	Global	high	1.0000	42.78	bsim_only
0x005c1ec8	0x837948	loader_Croot	Global	very_high	0.5199	25.71	exact
0x005c1f55	0x8379d8	loader_preload	Global	very_high	0.9459	32.73	exact
0x005c1fc1	0x837a47	ll_require	Global	very_high	0.9426	93.61	exact
0x005c2263	0x837be8	ll_module	Global	very_high	0.9022	71.82	exact
0x005c235d	0x837cea	ll_seeall	Global	very_high	1.0000	26.84	exact
0x005c1c9e	0x837d46	findfile	Global	very_high	0.7648	75.27	exact
0x005c1b3f	0x837e65	gctm	Global	very_high	0.9537	20.68	exact
0x005c1b69	0x837e92	ll_loadfunc	Global	high	1.0000	48.88	bsim_only
0x005c1e2d	0x83810b	mkfuncname	Global	very_high	0.5952	15.19	exact
0x005c220a	0x838159	modinit	Global	very_high	1.0000	32.50	exact
0x005c19fb	0x8381c0	pusherror	Global	very_high	0.7735	20.89	exact
0x005c2158	0x838231	setfenv	Global	very_high	0.9014	37.06	exact
0x005c196b	0x838317	setprogdir	Global	very_high	0.7412	30.89	exact
0x005bd6ab	0x8387f7	luaM_growaux_	Global	high	1.0000	49.20	bsim_only
0x005bd934	0x83893c	inclinenumber	Global	very_high	1.0000	84.74	exact
0x005be041	0x8389c5	llex	Global	very_high	0.9228	303.72	exact
0x005bd783	0x838eb8	luaX_init	Global	high	1.0000	50.87	bsim_only
0x005bd8e4	0x838fac	luaX_newstring	Global	high	1.0000	42.95	bsim_only
0x005bdc5c	0x839110	read_long_string	Global	very_high	0.9070	164.51	exact
