legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00571b16,SetScrollPos,ShellScrollBar,0x3054c0,0x7054c0,0.5300,9.25,,
0x00571bcc,DrawLabelText,TextLabel,0x3054c0,0x7054c0,0.5300,9.25,,
0x00573f55,SetButtonTextColor,ShellButton,0x3c2450,0x7c2450,0.5217,9.22,0x3c30e0,0.5217
0x00586238,StringValidateDestA,Global,0x28b310,0x68b310,0.5044,9.21,,
0x004be394,HullWarning,BettyVoice,0x420fe0,0x820fe0,0.5513,9.20,,
0x00529c88,Cleanup,AnchorRocket,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x0052b599,Cleanup,BounceBomb,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x0052fde1,Cleanup,Grenade,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x00536231,Cleanup,Popper,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x00537e76,Cleanup,Rocket,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x0053bb74,Cleanup,TeamSwitcher,0x1bd010,0x5bd010,0.6521,9.19,0x1b1d60,0.5814
0x00570ef7,init_option_box,Global,0x1f0cb0,0x5f0cb0,0.6017,9.17,,
0x00482abc,PackPermState,Building,0x7fa00,0x47fa00,0.7053,9.16,0x7fa50,0.6396
0x004b3ee1,PackPermState,TurretCraft,0x7fa00,0x47fa00,0.7053,9.16,0x7fa50,0.6396
0x00401855,`scalar_deleting_destructor',std::length_error,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x00403f0c,`scalar_deleting_destructor',EmptyMission,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x0040563c,`scalar_deleting_destructor',std::out_of_range,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x004111c1,`scalar_deleting_destructor',DemoMission,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x00415352,`scalar_deleting_destructor',HuntTask,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x00415ad9,`scalar_deleting_destructor',Inst01Mission,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
0x00415c5e,`scalar_deleting_destructor',Inst02Mission,0x41daf0,0x81daf0,0.5011,9.15,0x165f0,0.5011
