api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
SetAIP,0x87ca94,0x871fc8,0x503700,0x103700,FUN_00503700,true
FailMission,0x87caa4,0x871fd8,0x5037a0,0x1037a0,FUN_005037a0,true
SucceedMission,0x87cab0,0x871fe0,0x5037f0,0x1037f0,FUN_005037f0,true
ClearObjectives,0x87cac0,0x871fe8,0x503920,0x103920,FUN_00503920,true
AddObjective,0x87cad0,0x871ff0,0x503a40,0x103a40,FUN_00503a40,true
UpdateObjective,0x87c9e4,0x871ff8,0x503ae0,0x103ae0,FUN_00503ae0,true
RemoveObjective,0x87c9f4,0x872000,0x503b80,0x103b80,FUN_00503b80,true
StartCockpitTimer,0x87ca04,0x872008,0x503bb0,0x103bb0,FUN_00503bb0,true
StartCockpitTimerUp,0x87ca18,0x872010,0x503c10,0x103c10,FUN_00503c10,true
StopCockpitTimer,0x87ca2c,0x872018,0x503c70,0x103c70,FUN_00503c70,true
HideCockpitTimer,0x87ca40,0x872020,0x503c80,0x103c80,FUN_00503c80,true
GetCockpitTimer,0x87ca54,0x872028,0x503c90,0x103c90,FUN_00503c90,true
StartEarthquake,0x87ca64,0x872030,0x503cc0,0x103cc0,FUN_00503cc0,true
UpdateEarthQuake,0x87cb58,0x872038,0x503cf0,0x103cf0,FUN_00503cf0,true
StopEarthquake,0x87cb6c,0x872040,0x503d20,0x103d20,FUN_00503d20,true
SetPathType,0x87cb9c,0x872058,0x503d70,0x103d70,FUN_00503d70,true
GetPathType,0x87cb90,0x872050,0x503d30,0x103d30,FUN_00503d30,true
SetPathOneWay,0x87cba8,0x872060,0x503db0,0x103db0,FUN_00503db0,true
SetPathRoundTrip,0x87cbb8,0x872068,0x503de0,0x103de0,FUN_00503de0,true
SetPathLoop,0x87cbcc,0x872070,0x503e10,0x103e10,FUN_00503e10,true
GetPathPointCount,0x87cb7c,0x872048,0x503e40,0x103e40,FUN_00503e40,true
GetWindingNumber,0x87cae0,0x872078,0x503e80,0x103e80,FUN_00503e80,true
IsInsideArea,0x87caf4,0x872080,0x503f80,0x103f80,FUN_00503f80,true
CanCommand,0x87cb04,0x872088,0x504070,0x104070,FUN_00504070,true
CanBuild,0x87cb10,0x872090,0x5040b0,0x1040b0,FUN_005040b0,true
