name,address_va,address_rva,symbol_type,source,namespace
?estimateIndexCount@ManualObject@Ogre@@UAEXI@Z,260,-4194044,Function,IMPORTED,OGREMAIN.DLL
?estimateVertexCount@ManualObject@Ogre@@UAEXI@Z,261,-4194043,Function,IMPORTED,OGREMAIN.DLL
?clear@ManualObject@Ogre@@UAEXXZ,262,-4194042,Function,IMPORTED,OGREMAIN.DLL
??1ManualObject@Ogre@@UAE@XZ,263,-4194041,Function,IMPORTED,OGREMAIN.DLL
??0ManualObject@Ogre@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,264,-4194040,Function,IMPORTED,OGREMAIN.DLL
?_notifyCurrentCamera@MovableObject@Ogre@@UAEXPAVCamera@2@@Z,265,-4194039,Function,IMPORTED,OGREMAIN.DLL
?getDynamic@ManualObject@Ogre@@UBE_NXZ,266,-4194038,Function,IMPORTED,OGREMAIN.DLL
?setDynamic@ManualObject@Ogre@@UAEX_N@Z,267,-4194037,Function,IMPORTED,OGREMAIN.DLL
?_releaseManualHardwareResources@ManualObject@Ogre@@UAEXXZ,268,-4194036,Label,IMPORTED,OGREMAIN.DLL
??AMatrix4@Ogre@@QBEPBMI@Z,269,-4194035,Function,IMPORTED,OGREMAIN.DLL
