path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,output,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\misn08.hgt,misn08.hgt,524288,4x4,trn-dir,262144,0,2860,2132,216202,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn08.hg2,7524459051e14c1c,
C:\Program Files (x86)\Battlezone\stockfiles\misn09.hgt,misn09.hgt,524288,4x4,trn-dir,262144,0,2271,2008,203222,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn09.hg2,517678465c98a00b,
C:\Program Files (x86)\Battlezone\stockfiles\misn10.hgt,misn10.hgt,524288,4x4,trn-dir,262144,0,1626,1187,240981,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn10.hg2,e5b150217754fa45,
C:\Program Files (x86)\Battlezone\stockfiles\misn11.hgt,misn11.hgt,524288,4x4,trn-dir,262144,0,1783,1294,249210,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn11.hg2,920972404a96bdf4,
C:\Program Files (x86)\Battlezone\stockfiles\misn12.hgt,misn12.hgt,524288,4x4,trn-dir,262144,0,1474,1353,230447,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn12.hg2,8e38db34e15c28c8,
C:\Program Files (x86)\Battlezone\stockfiles\misn13.hgt,misn13.hgt,524288,4x4,trn-dir,262144,0,1474,1361,231762,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn13.hg2,9496d7e1d33f43a8,
C:\Program Files (x86)\Battlezone\stockfiles\misn14.hgt,misn14.hgt,524288,4x4,trn-dir,262144,0,2750,895,255009,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn14.hg2,0f015cc2fb28f563,
C:\Program Files (x86)\Battlezone\stockfiles\misn15.hgt,misn15.hgt,524288,4x4,trn-dir,262144,0,1110,567,256146,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn15.hg2,97de6131449a6d6b,
C:\Program Files (x86)\Battlezone\stockfiles\misn15b.hgt,misn15b.hgt,524288,4x4,trn-dir,262144,100,1654,1142,249526,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn15b.hg2,0cfc250812171aa5,
C:\Program Files (x86)\Battlezone\stockfiles\misn16.hgt,misn16.hgt,524288,4x4,trn-dir,262144,0,1041,809,254460,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn16.hg2,9578889ff3e6cc2c,
C:\Program Files (x86)\Battlezone\stockfiles\misn16b.hgt,misn16b.hgt,524288,4x4,trn-dir,262144,1,940,769,253977,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn16b.hg2,ea5783407a82c80f,
C:\Program Files (x86)\Battlezone\stockfiles\misn17.hgt,misn17.hgt,524288,4x4,trn-dir,262144,0,3950,3099,229038,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn17.hg2,b64e35718bc229f6,
