path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\misn17.hgt,misn17.hgt,524288,4x4,inferred,262144,0,3950,3099,229038,1,parsed,f777786eee68e860,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn17.hgt,misn17.hgt,524288,4x4,trn,262144,0,3950,3099,229038,0,parsed,f777786eee68e860,
C:\Program Files (x86)\Battlezone\stockfiles\misn18.hgt,misn18.hgt,262144,2x4,inferred,131072,0,4095,3938,91597,1,parsed,7eeb540c4189807a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn18.hgt,misn18.hgt,262144,2x4,trn,131072,0,4095,3938,91597,0,parsed,7eeb540c4189807a,
C:\Program Files (x86)\Battlezone\stockfiles\misns1.hgt,misns1.hgt,524288,4x4,inferred,262144,56,4095,4036,215035,1,parsed,6ab916459b02a38d,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns1.hgt,misns1.hgt,524288,4x4,trn,262144,56,4095,4036,215035,0,parsed,6ab916459b02a38d,
C:\Program Files (x86)\Battlezone\stockfiles\misns2.hgt,misns2.hgt,524288,4x4,inferred,262144,33,2713,2502,155133,1,parsed,e0447daa264e16ac,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns2.hgt,misns2.hgt,524288,4x4,trn,262144,33,2713,2502,155133,0,parsed,e0447daa264e16ac,
C:\Program Files (x86)\Battlezone\stockfiles\misns3.hgt,misns3.hgt,524288,4x4,inferred,262144,50,2115,1664,248905,1,parsed,c1e00c283401cb12,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns3.hgt,misns3.hgt,524288,4x4,trn,262144,50,2115,1664,248905,0,parsed,c1e00c283401cb12,
C:\Program Files (x86)\Battlezone\stockfiles\misns4.hgt,misns4.hgt,524288,4x4,inferred,262144,0,1402,946,257451,1,parsed,2f37ea9186de92c4,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns4.hgt,misns4.hgt,524288,4x4,trn,262144,0,1402,946,257451,0,parsed,2f37ea9186de92c4,
C:\Program Files (x86)\Battlezone\stockfiles\misns5.hgt,misns5.hgt,524288,4x4,inferred,262144,0,1328,756,259541,1,parsed,99b0becd12a6e9b9,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns5.hgt,misns5.hgt,524288,4x4,trn,262144,0,1328,756,259541,0,parsed,99b0becd12a6e9b9,
C:\Program Files (x86)\Battlezone\stockfiles\misns6.hgt,misns6.hgt,524288,4x4,inferred,262144,0,1676,1315,239859,1,parsed,c0b8f81d4ccc46df,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns6.hgt,misns6.hgt,524288,4x4,trn,262144,0,1676,1315,239859,0,parsed,c0b8f81d4ccc46df,
C:\Program Files (x86)\Battlezone\stockfiles\misns7.hgt,misns7.hgt,524288,4x4,inferred,262144,50,1642,1011,224890,1,parsed,b65f626c0c9d8820,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns7.hgt,misns7.hgt,524288,4x4,trn,262144,50,1642,1011,224890,0,parsed,b65f626c0c9d8820,
C:\Program Files (x86)\Battlezone\stockfiles\misns8.hgt,misns8.hgt,524288,4x4,inferred,262144,50,1821,1039,226510,1,parsed,484dc475ce0f6774,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misns8.hgt,misns8.hgt,524288,4x4,trn,262144,50,1821,1039,226510,0,parsed,484dc475ce0f6774,
C:\Program Files (x86)\Battlezone\addon\custom_maps\moonscap_Moonscape\moonscap.HGT,moonscap.HGT,131072,2x2,trn,65536,0,1103,831,49265,0,parsed,330c7ecf70d23b55,
C:\Program Files (x86)\Battlezone\stockfiles\mp.hgt,mp.hgt,524288,4x4,inferred,262144,0,1951,1740,232197,1,parsed,140c252f1c71af5a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\mp.hgt,mp.hgt,524288,4x4,trn,262144,0,1951,1740,232197,0,parsed,140c252f1c71af5a,
C:\Program Files (x86)\Battlezone\stockfiles\mult01.hgt,mult01.hgt,524288,4x4,inferred,262144,0,1648,915,258263,1,parsed,b8f6e27ee3207664,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\mult01.hgt,mult01.hgt,524288,4x4,trn,262144,0,1648,915,258263,0,parsed,b8f6e27ee3207664,
C:\Program Files (x86)\Battlezone\stockfiles\mult03.hgt,mult03.hgt,524288,4x4,inferred,262144,0,1400,806,256334,1,parsed,7f42c3ede8478512,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\mult03.hgt,mult03.hgt,524288,4x4,trn,262144,0,1400,806,256334,0,parsed,7f42c3ede8478512,
C:\Program Files (x86)\Battlezone\stockfiles\mult04.hgt,mult04.hgt,524288,4x4,inferred,262144,0,1853,1173,254442,1,parsed,6b6fd5a89e4e3d12,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\mult04.hgt,mult04.hgt,524288,4x4,trn,262144,0,1853,1173,254442,0,parsed,6b6fd5a89e4e3d12,
C:\Program Files (x86)\Battlezone\stockfiles\multdm05.hgt,multdm05.hgt,524288,4x4,inferred,262144,0,4095,3930,257771,1,parsed,191bcabc8c020554,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm05.hgt,multdm05.hgt,524288,4x4,trn,262144,0,4095,3930,257771,0,parsed,191bcabc8c020554,
C:\Program Files (x86)\Battlezone\stockfiles\multdm11.hgt,multdm11.hgt,32768,1x1,inferred,16384,0,674,626,12826,0,parsed,ee0d1dc35a59911c,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm11.hgt,multdm11.hgt,32768,1x1,trn,16384,0,674,626,12826,0,parsed,ee0d1dc35a59911c,
C:\Program Files (x86)\Battlezone\stockfiles\multdm12.hgt,multdm12.hgt,32768,1x1,inferred,16384,0,1419,1126,7455,0,parsed,055e734dbf40797b,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm12.hgt,multdm12.hgt,32768,1x1,trn,16384,0,1419,1126,7455,0,parsed,055e734dbf40797b,
C:\Program Files (x86)\Battlezone\stockfiles\multdm13.hgt,multdm13.hgt,32768,1x1,inferred,16384,0,1425,449,12621,0,parsed,26496434ff403df9,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm13.hgt,multdm13.hgt,32768,1x1,trn,16384,0,1425,449,12621,0,parsed,26496434ff403df9,
C:\Program Files (x86)\Battlezone\stockfiles\multdm14.hgt,multdm14.hgt,131072,2x2,inferred,65536,0,1890,1020,56650,1,parsed,bed60a3d6927f95a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm14.hgt,multdm14.hgt,131072,2x2,trn,65536,0,1890,1020,56650,0,parsed,bed60a3d6927f95a,
C:\Program Files (x86)\Battlezone\stockfiles\multdm15.hgt,multdm15.hgt,131072,2x2,inferred,65536,0,1077,890,58852,1,parsed,f07d8441adf5a0e5,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm15.hgt,multdm15.hgt,131072,2x2,trn,65536,0,1077,890,58852,0,parsed,f07d8441adf5a0e5,
C:\Program Files (x86)\Battlezone\stockfiles\multdm17.hgt,multdm17.hgt,32768,1x1,inferred,16384,500,2798,504,14344,0,parsed,ac6d01d5092cb93f,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm17.hgt,multdm17.hgt,32768,1x1,trn,16384,500,2798,504,14344,0,parsed,ac6d01d5092cb93f,
C:\Program Files (x86)\Battlezone\stockfiles\multdm20.hgt,multdm20.hgt,524288,4x4,inferred,262144,0,4095,1556,256033,1,parsed,02afcbb68870ffef,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm20.hgt,multdm20.hgt,524288,4x4,trn,262144,0,4095,1556,256033,0,parsed,02afcbb68870ffef,
C:\Program Files (x86)\Battlezone\stockfiles\multdm21.hgt,multdm21.hgt,524288,4x4,trn,262144,0,2509,1707,255043,0,parsed,7ff2f7c22700e127,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm21.hgt,multdm21.hgt,524288,4x4,trn,262144,0,2509,1707,255043,0,parsed,7ff2f7c22700e127,
C:\Program Files (x86)\Battlezone\stockfiles\multdm28.hgt,multdm28.hgt,32768,1x1,inferred,16384,0,1912,1581,8234,0,parsed,833942b5f93b9eb6,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm28.hgt,multdm28.hgt,32768,1x1,trn,16384,0,1912,1581,8234,0,parsed,833942b5f93b9eb6,
C:\Program Files (x86)\Battlezone\stockfiles\multdm29.hgt,multdm29.hgt,32768,1x1,inferred,16384,0,1202,153,16179,0,parsed,799faf91b2909cf2,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\multdm29.hgt,multdm29.hgt,32768,1x1,trn,16384,0,1202,153,16179,0,parsed,799faf91b2909cf2,
